F4,F8,AF4
2.1658,4.1376,2.0396
1.2770697046591248,12.035962929726487,6.84006078674893
0.6169151807190626,-1.239508070668652,5.053166951326224
-1.6296905204929693,-1.8425678682374627,5.579349938651604
-2.0794905835559656,-1.1373300317051607,5.58559369319089
-2.2986635575071688,-0.4303288265016021,5.572043447391778
-1.378020372401585,-0.021399200887956382,5.5647855944909095
0.549105888719889,-0.07522736265793835,5.5637376283174484
2.1652734041868067,-0.5746154644044675,5.564495490373269
2.8620798570460706,-1.481983587239557,5.5635463819825
3.517509250517148,-2.7696610843253273,5.562669696595481
4.65452507043732,-4.31716551036099,5.565392705830735
5.22119962269225,-5.64009581417037,5.568942439250904
4.008150437524517,-6.011919895433182,5.565045176638793
1.3086974050117308,-5.369848433536463,5.551067326860203
-1.0955626300911847,-4.725903451203684,5.535193482434319
-1.3909324970146724,-5.021894876334111,5.526752845330563
0.2118104718537661,-6.044259496713314,5.525338843972525
1.4202912417890612,-7.06559777233647,5.5237254897200305
0.9756533251520205,-7.833920262422198,5.517965321553665
0.3644349080694481,-8.314228012952437,5.509452609772328
1.1486060715644957,-8.366093071743661,5.500498962228398
2.6522620794762792,-8.336938342749722,5.493672754339864
3.3589690001948647,-9.036464436047066,5.49176149521983
2.7891560797173516,-10.57407390087726,5.493327613191148
1.809836916364814,-12.164628922124486,5.493348558256222
1.9873731315036198,-13.383081493752933,5.491198386457748
3.43798075940865,-14.569227697307262,5.490130054145931
3.6257624746378645,-15.857458460810083,5.487730786709146
1.0065347219855258,-16.858078245908974,5.477755816842579
-1.602823081526033,-17.421545026636117,5.462148442324762
-1.2070709139322646,-17.953218388884153,5.449621583459325
0.2965036539192609,-18.90201714686938,5.442291456155978
-0.22175874343104585,-20.294773829455586,5.434670539561221
-1.610035687373685,-21.775592243328408,5.42503735156703
-1.064665361212714,-23.122634948339854,5.4181653671232475
1.1983685182232817,-24.689140791288896,5.4174051143687905
3.299141300779688,-26.887933376317825,5.420080843254603
4.080863435092783,-29.27804928558424,5.419663282261623
2.4693448887767078,-30.98354934257097,5.410953840730968
-1.4499112392123061,-32.04489650482644,5.395802998209731
-4.399123715392849,-33.37083062776607,5.382423061616148
-3.2617671965547776,-35.3896660545847,5.375961896310717
0.15647243114658194,-37.80255064021101,5.373037969374886
1.8044591934436196,-40.47862287191791,5.368069991121085
1.336753710731906,-43.54361981621428,5.360468824974299
1.3411162365036124,-46.862364457501144,5.353494037881126
2.3034647177777985,-50.1965243643104,5.349322717362271
2.327287228143337,-53.45110426647947,5.346110776306395
0.8263725043868373,-56.49850504057568,5.339622616570734
-0.794570954336121,-59.459729508420885,5.329171403972012
-1.5828554694628076,-63.04757746636859,5.319711078021034
-1.651817396704482,-67.74598595603891,5.315085719126552
-0.9495366284372047,-72.91954903880146,5.312712637859653
0.3333116462031207,-77.57234573336994,5.307843183212031
0.8774961165640001,-81.70560708740793,5.299485774553266
-0.08073036083606444,-86.2495221613105,5.290172540086878
-1.2400143488705253,-91.81986746696033,5.282291221916674
-1.2770747078301214,-98.0841644745286,5.275590022889803
-0.702037653159911,-104.44332312726172,5.268159307788593
-0.21692103092195936,-110.92098442378676,5.2599276317743255
0.39749916217002657,-117.99374909642988,5.253115206869173
0.7707117048837285,-125.75776569883031,5.248287331621897
-0.09907427741778563,-133.80306621504212,5.242788767377166
-2.1494503495297286,-141.89101970807243,5.233586583661271
-4.604635320492017,-150.1905260093431,5.218955294411622
-6.928836318554376,-158.79619431547127,5.199041291967023
-7.979696689576761,-167.6855180303628,5.178207464212423
-6.5793851361760805,-177.28535656383008,5.163305170700893
-3.768941742888714,-188.30892517678586,5.155862250724313
-1.5842472366736269,-200.810815674043,5.15077401666521
0.148869772843647,-214.14562846008323,5.145364538885026
2.4572459686645542,-228.01874986514443,5.14261686369495
3.8934389724522145,-242.8170523697194,5.1429162123037075
2.3933817807494915,-258.7887398221224,5.14099572779761
-0.8243437606475736,-275.6787512635058,5.134020027516236
-2.7607953429004986,-293.33204887497146,5.12511629493232
-2.7863960433732413,-311.9754591534723,5.116919471708854
-2.414828553903497,-331.72074847162537,5.108155562979246
-2.462145236112335,-352.303913991461,5.097017755937944
-2.951613728751831,-373.5667529875812,5.082637933330143
